doi,title_cleaned,journal_name_cleaned,features_union_titre_journal,bso_classification
10.1109/ICASSP.2016.7472545,diffusion lm multitask network noisy link,ieee international conference acoustic speech signal processing icassp,diffusion lm multitask network noisy link ieee international conference acoustic speech signal processing icassp,Computer and information sciences
10.1109/EWME.2016.7496477,new qvco design using utbb fdsoi technology,european workshop microelectronics education ewme,new qvco design using utbb fdsoi technology european workshop microelectronics education ewme,Engineering
10.1136/bcr-2016-215482 1,management non syndromic double tooth affecting permanent maxillary central incisor systematic review,bmj case report,management non syndromic double tooth affecting permanent maxillary central incisor systematic review bmj case report,Medical research
10.3917/etr.0911.0057,mort pluriel mort dans âme,études théologiques religieuses,mort pluriel mort dans âme études théologiques religieuses,Humanities
10.1142/S0218271816500668,inhomogeneous matter distribution supernova,international journal modern physic,inhomogeneous matter distribution supernova international journal modern physic,"Physical sciences, Astronomy"
10.1172/JCI84518,ccr irf dependent dendritic cell regulate lymphatic collecting vessel permeability,journal clinical investigation,ccr irf dependent dendritic cell regulate lymphatic collecting vessel permeability journal clinical investigation,Medical research
10.1109/ICISE.2016.13,combining sysml marte ccsl model complex electronic system,international conference information system engineering icise,combining sysml marte ccsl model complex electronic system international conference information system engineering icise,Engineering
10.1097/SHK.0000000000000665,effect increasing hydrocortisone per day treatment septic shock,shock,effect increasing hydrocortisone per day treatment septic shock shock,Medical research
10.1142/S0218202516500457,analysis chemotaxis system modeling ant foraging,mathematical model method applied science,analysis chemotaxis system modeling ant foraging mathematical model method applied science,Biology (fond.)
10.1109/CBMI.2016.7500255,vascular network discriminant enough classify renal cell carcinoma,international workshop content based multimedia indexing cbmi,vascular network discriminant enough classify renal cell carcinoma international workshop content based multimedia indexing cbmi,Medical research
10.1097/CCM.0000000000001900,author reply,critical care medicine,author reply critical care medicine,Medical research
10.4267/2042/60676,ivaldiceras new genus heteromorphic ammonite lower aptian southeast france,carnets géologie notebook geology,ivaldiceras new genus heteromorphic ammonite lower aptian southeast france carnets géologie notebook geology,"Earth, Ecology, Energy and applied biology"
10.1109/JSAC.2016.2558978,heap reliable assessment bgp hijacking attack,ieee journal selected area communication,heap reliable assessment bgp hijacking attack ieee journal selected area communication,Computer and information sciences
10.1160/TH15-12-0964,age dependency coagulation parameter paediatric population,thrombosis haemostasis,age dependency coagulation parameter paediatric population thrombosis haemostasis,Medical research
10.1097/SLA.0000000000001879,natural history adjustable gastric banding,annals surgery,natural history adjustable gastric banding annals surgery,Medical research
10.1109/ISBI.2016.7493411,cortical surface parcellation via dmri using mutual nearest neighbor condition,ieee international symposium biomedical imaging isbi,cortical surface parcellation via dmri using mutual nearest neighbor condition ieee international symposium biomedical imaging isbi,Medical research
10.1108/CG-09-2015-0123,board director disciplinary cognitive influence corporate value creation,corporate governance,board director disciplinary cognitive influence corporate value creation corporate governance,Computer and information sciences
10.1017/S1473550416000227,moma challenge search organic biosignatures mar,international journal astrobiology,moma challenge search organic biosignatures mar international journal astrobiology,"Earth, Ecology, Energy and applied biology"
10.1109/MAP.2018.2796032,industrial antenna design multidisciplinary course offered european school antenna education corner,ieee antenna propagation magazine,industrial antenna design multidisciplinary course offered european school antenna education corner ieee antenna propagation magazine,Computer and information sciences
10.1109/CAMA.2017.8273439,direction arrival doa degree phase ambiguity rfid uhf reader limit perspective,ieee conference antenna measurement application cama,direction arrival doa degree phase ambiguity rfid uhf reader limit perspective ieee conference antenna measurement application cama,Computer and information sciences
10.1109/ICM.2017.8268881,programmable signal generator neural network application,international conference microelectronics icm,programmable signal generator neural network application international conference microelectronics icm,Engineering
10.4018/IJESMA.2017010103,loyalty programme meta service,international journal service mobile application,loyalty programme meta service international journal service mobile application,Computer and information sciences
10.1097/SHK.0000000000001014,inappropriate response cosyntropin stimulation test indication corticosteroid resistance septic shock,shock,inappropriate response cosyntropin stimulation test indication corticosteroid resistance septic shock shock,Medical research
10.1108/IMEFM-06-2017-0151,sin matter corporate governance issue united state,international journal islamic middle eastern finance management,sin matter corporate governance issue united state international journal islamic middle eastern finance management,Social sciences
10.1109/TMI.2018.2820742,consistent robust segmentation cardiac image deep learning spatial propagation,ieee transaction medical imaging,consistent robust segmentation cardiac image deep learning spatial propagation ieee transaction medical imaging,Computer and information sciences
10.1109/CAMA.2017.8273433,experimental analysis human body effect miniature lpwan antenna,ieee conference antenna measurement application cama,experimental analysis human body effect miniature lpwan antenna ieee conference antenna measurement application cama,Computer and information sciences
10.1103/PhysRevLett.120.141101,microscope mission first constraint violation weak equivalence principle light scalar dilaton,physical review letter,microscope mission first constraint violation weak equivalence principle light scalar dilaton physical review letter,"Physical sciences, Astronomy"
10.4267/2042/66955,heteroceras gracile nov new specie heteroceras orbigny upper barremian morteiron alpes haute provence france,carnets géologie notebook geology,heteroceras gracile nov new specie heteroceras orbigny upper barremian morteiron alpes haute provence france carnets géologie notebook geology,"Earth, Ecology, Energy and applied biology"
10.1057/9781137480668_8,trade diversification intra regional trade north africa,economic development middle east north africa,trade diversification intra regional trade north africa economic development middle east north africa,"Earth, Ecology, Energy and applied biology"
10.1515/9783110545623-017,avoid monkey refusal interaction galen epideixis,interaction animal human graeco roman antiquity,avoid monkey refusal interaction galen epideixis interaction animal human graeco roman antiquity,Humanities
10.23919/RADIO.2017.8242252,full body imaging multiview electromagnetic scanner,ieee radio antenna day indian ocean radio,full body imaging multiview electromagnetic scanner ieee radio antenna day indian ocean radio,Computer and information sciences
10.1109/TSE.2018.2826537,creating rich representative persona discovering affordances,ieee transaction software engineering,creating rich representative persona discovering affordances ieee transaction software engineering,Computer and information sciences
10.1017/9781316286791.018,origin planetary ring system,planetary ring system,origin planetary ring system planetary ring system,"Earth, Ecology, Energy and applied biology"
10.1017/S0960129518000105,plugging proof development environment usinglocksinlf,mathematical structure computer science,plugging proof development environment usinglocksinlf mathematical structure computer science,Computer and information sciences
10.1109/TBME.2018.2839713,transfer learning simulation reference anatomy ecgi personalized cardiac resynchronization therapy,ieee transaction biomedical engineering,transfer learning simulation reference anatomy ecgi personalized cardiac resynchronization therapy ieee transaction biomedical engineering,Medical research
10.1002/14651858.CD003220.pub3,pulp treatment extensive decay primary teeth,cochrane database systematic review,pulp treatment extensive decay primary teeth cochrane database systematic review,Medical research
10.1017/S1743921317000928,post agb nebular study,proceeding international astronomical union,post agb nebular study proceeding international astronomical union,"Earth, Ecology, Energy and applied biology"
10.1515/9783110545623-007,psychological cognitive philosophical aspect animal envy towards human theophrastus beyond,interaction animal human graeco roman antiquity,psychological cognitive philosophical aspect animal envy towards human theophrastus beyond interaction animal human graeco roman antiquity,Humanities
10.1302/0301-620X.100B4.BJJ-2017-0495.R2,anatomical total shoulder arthroplasty young patient osteoarthritis,bone joint journal,anatomical total shoulder arthroplasty young patient osteoarthritis bone joint journal,Medical research
10.22489/CinC.2018.375,detecting flutter wave electrocardiogram using generalized likelihood ratio test,computing cardiology conference cinc,detecting flutter wave electrocardiogram using generalized likelihood ratio test computing cardiology conference cinc,Medical research
10.1109/WD.2019.8734203,optimal placement drone fast sensor energy replenishment using wireless power transfer,wireless day,optimal placement drone fast sensor energy replenishment using wireless power transfer wireless day,Engineering
10.1142/S0219581X19400398,silicene nanostructures grown graphene covered sic substrate,international journal nanoscience,silicene nanostructures grown graphene covered sic substrate international journal nanoscience,"Physical sciences, Astronomy"
10.22489/CinC.2018.355,localizing atrial flutter circuit using variability vectorcardiographic loop parameter,computing cardiology conference cinc,localizing atrial flutter circuit using variability vectorcardiographic loop parameter computing cardiology conference cinc,Medical research
10.1177/1045389X19862358,actively lubricated hybrid journal bearing based magnetic fluid high precision spindle machine tool,journal intelligent material system structure,actively lubricated hybrid journal bearing based magnetic fluid high precision spindle machine tool journal intelligent material system structure,Engineering
10.1364/CLEO_AT.2019.JW2A.35,thermally induced nonlinear spatial shaping femtosecond pulse nematic liquid crystal,conference laser electro optic,thermally induced nonlinear spatial shaping femtosecond pulse nematic liquid crystal conference laser electro optic,"Physical sciences, Astronomy"
10.22489/CinC.2018.299,autonomic nervous system effect atrioventricular conduction time heart period relationship physical exercise passive recovery,computing cardiology conference cinc,autonomic nervous system effect atrioventricular conduction time heart period relationship physical exercise passive recovery computing cardiology conference cinc,Medical research
10.1103/PhysRevD.99.122002,narrow band search gravitational wave known pulsar using second ligo observing run,physical review,narrow band search gravitational wave known pulsar using second ligo observing run physical review,"Physical sciences, Astronomy"
10.1109/INFOCOM.2019.8737548,memory flipping threat numa virtual machine cloud,ieee infocom ieee conference computer communication,memory flipping threat numa virtual machine cloud ieee infocom ieee conference computer communication,Computer and information sciences
10.1103/PhysRevFluids.4.064804,strong turbulence vibrating plate emergence kolmogorov spectrum,physical review fluid,strong turbulence vibrating plate emergence kolmogorov spectrum physical review fluid,"Physical sciences, Astronomy"
10.21630/maa.2018.69.12,anthracological data middle palaeolithic context iberia know,munibe antropologia arkeologia,anthracological data middle palaeolithic context iberia know munibe antropologia arkeologia,Humanities
10.1214/19-EJS1565,multivariate adaptive warped kernel estimation,electronic journal statistic,multivariate adaptive warped kernel estimation electronic journal statistic,Mathematics
10.1103/PhysRevLett.123.011102,test general relativity,physical review letter,test general relativity physical review letter,"Physical sciences, Astronomy"
10.1029/2018JE005826,moon nearside farside asymmetry result giant impact,journal geophysical research planet,moon nearside farside asymmetry result giant impact journal geophysical research planet,"Earth, Ecology, Energy and applied biology"
10.1029/2019GL082677,observational constraint radius oblateness lunar core mantle boundary,geophysical research letter,observational constraint radius oblateness lunar core mantle boundary geophysical research letter,"Earth, Ecology, Energy and applied biology"
10.1109/RFIC.2019.8701728,scalable analytical model thz cut off frequency schottky diode integrated bicmos technology,ieee radio frequency integrated circuit symposium rfic,scalable analytical model thz cut off frequency schottky diode integrated bicmos technology ieee radio frequency integrated circuit symposium rfic,Engineering
10.1103/PhysRevLett.123.068102,termination scroll wave surface impact,physical review letter,termination scroll wave surface impact physical review letter,"Physical sciences, Astronomy"
10.25088/ComplexSystems.28.2.197,strong weak spatial segregation multilevel discrimination criterion,complex system,strong weak spatial segregation multilevel discrimination criterion complex system,Mathematics
10.1134/S0016266319020102,complex conjugate zero partial theta function,functional analysis application,complex conjugate zero partial theta function functional analysis application,Mathematics
10.1109/FG.2019.8756622,analysis temporal alignment video classification,ieee international conference automatic face gesture recognition,analysis temporal alignment video classification ieee international conference automatic face gesture recognition,Computer and information sciences
10.1109/IGCC.2018.8752131,appliance identification different electrical signature using moving average data preparation,ninth international green sustainable computing conference igsc,appliance identification different electrical signature using moving average data preparation ninth international green sustainable computing conference igsc,Computer and information sciences
10.1029/2019JB017512,bayesian dynamic finite fault inversion application amatrice italy earthquake,journal geophysical research solid earth,bayesian dynamic finite fault inversion application amatrice italy earthquake journal geophysical research solid earth,"Earth, Ecology, Energy and applied biology"
10.1108/JKM-06-2018-0353,humility facilitate knowledge sharing investigating role humble knowledge inquiry response,journal knowledge management,humility facilitate knowledge sharing investigating role humble knowledge inquiry response journal knowledge management,Computer and information sciences
10.1364/OE.27.022074,distributed fiber optic shape sensing mean high scattering doped fiber simultaneous spatial multiplexing,optic express,distributed fiber optic shape sensing mean high scattering doped fiber simultaneous spatial multiplexing optic express,"Physical sciences, Astronomy"
10.1109/FG.2019.8756545,characterizing state apathy facial expression motion analysis,ieee international conference automatic face gesture recognition,characterizing state apathy facial expression motion analysis ieee international conference automatic face gesture recognition,Computer and information sciences
10.1103/PhysRevLett.123.055101,building weakly outgassing comet generalized ohm law,physical review letter,building weakly outgassing comet generalized ohm law physical review letter,"Physical sciences, Astronomy"
10.1103/PhysRevA.100.013624,towards measurement debye length large magneto optical trap,physical review,towards measurement debye length large magneto optical trap physical review,"Physical sciences, Astronomy"
10.1364/OE.27.021794,dispersion pulse band edge cholesteric liquid crystal,optic express,dispersion pulse band edge cholesteric liquid crystal optic express,"Physical sciences, Astronomy"
10.1109/CCGRID.2019.00047,cost acking data stream processing system,ieee acm international symposium cluster cloud grid computing ccgrid,cost acking data stream processing system ieee acm international symposium cluster cloud grid computing ccgrid,Computer and information sciences
10.1103/PhysRevLett.123.043902,third order dispersion time delayed system,physical review letter,third order dispersion time delayed system physical review letter,"Physical sciences, Astronomy"
10.1109/LPT.2019.2924652,refractive index sensor interrogation etched mgo nanoparticle doped optical fiber signature,ieee photonics technology letter,refractive index sensor interrogation etched mgo nanoparticle doped optical fiber signature ieee photonics technology letter,"Physical sciences, Astronomy"
10.1103/PhysRevE.100.012216,dynamic class nonlinear mirror mode locked laser,physical review,dynamic class nonlinear mirror mode locked laser physical review,"Physical sciences, Astronomy"
10.1109/ICRA.2019.8794006,closed loop mpc dense visual slam stability reactive stepping,international conference robotics automation icra,closed loop mpc dense visual slam stability reactive stepping international conference robotics automation icra,Computer and information sciences
10.1161/HYPERTENSIONAHA.119.13094,proximal tubule specific deletion nhe exchanger kidney attenuates ang angiotensin induced hypertension mouse,hypertension,proximal tubule specific deletion nhe exchanger kidney attenuates ang angiotensin induced hypertension mouse hypertension,Medical research
10.1109/AIKE.2019.00056,decision making multiple crowd opinion,ieee second international conference artificial intelligence knowledge engineering aike,decision making multiple crowd opinion ieee second international conference artificial intelligence knowledge engineering aike,Computer and information sciences
10.7554/eLife.47376,soxa mediates ability parapineal impart habenular left right asymmetry,elife,soxa mediates ability parapineal impart habenular left right asymmetry elife,Biology (fond.)
10.1364/OE.27.024154,study efficient semipolar ingan green micro light emitting diode high quality gan sapphire template,optic express,study efficient semipolar ingan green micro light emitting diode high quality gan sapphire template optic express,Engineering
10.1109/PRIME.2019.8787742,effect ssn signal power integrity bit microcontroller modeling correlation,conference research microelectronics electronics prime,effect ssn signal power integrity bit microcontroller modeling correlation conference research microelectronics electronics prime,Engineering
10.1109/PRIME.2019.8787823,analysis ftb stress propagation integrated circuit,conference research microelectronics electronics prime,analysis ftb stress propagation integrated circuit conference research microelectronics electronics prime,Engineering
10.1364/PRJ.7.000A36,chip based squeezing telecom wavelength,photonics research,chip based squeezing telecom wavelength photonics research,Engineering
10.1130/GES02069.1,quaternary coral reef complex powerful marker long term subsidence related deep process subduction zone insight le saintes guadeloupe french west indie,geosphere,quaternary coral reef complex powerful marker long term subsidence related deep process subduction zone insight le saintes guadeloupe french west indie geosphere,"Earth, Ecology, Energy and applied biology"
10.1364/JOSAB.36.002030,comparison three approach light scattering dilute cold atomic ensemble,journal optical society america,comparison three approach light scattering dilute cold atomic ensemble journal optical society america,"Physical sciences, Astronomy"
10.1029/2019GL083856,illuminating rupturing microseismic source injection induced earthquake experiment,geophysical research letter,illuminating rupturing microseismic source injection induced earthquake experiment geophysical research letter,"Earth, Ecology, Energy and applied biology"
10.1029/2019JB017324,seismic aseismic fault growth lead different fault orientation,journal geophysical research solid earth,seismic aseismic fault growth lead different fault orientation journal geophysical research solid earth,"Earth, Ecology, Energy and applied biology"
10.1158/0008-5472.CAN-18-3855,genetic ablation cystine transporter xct pdac cell inhibits mtorc growth survival tumor formation via nutrient oxidative stress,cancer research,genetic ablation cystine transporter xct pdac cell inhibits mtorc growth survival tumor formation via nutrient oxidative stress cancer research,Medical research
10.1029/2019JB017454,origin regular network joint experimental constraint theoretical background numerical modeling,journal geophysical research solid earth,origin regular network joint experimental constraint theoretical background numerical modeling journal geophysical research solid earth,"Earth, Ecology, Energy and applied biology"
10.1007/s10269-012-2175-4,éditorial,oncologie,éditorial oncologie,Medical research
10.18293/SEKE2019-054,extending behavior driven development assessing user interface design artifact,proceeding international conference software engineering knowledge engineering,extending behavior driven development assessing user interface design artifact proceeding international conference software engineering knowledge engineering,Computer and information sciences
10.1029/2018JB016670,depletion induced seismicity groningen gas field coulomb rate and state model including differential compaction effect,journal geophysical research solid earth,depletion induced seismicity groningen gas field coulomb rate and state model including differential compaction effect journal geophysical research solid earth,"Earth, Ecology, Energy and applied biology"
10.1128/JB.00191-19,intracellular bacteria differentiated bacteroid transcriptome metabolome analysis aeschynomene nodule using bradyrhizobium strain or bcla mutant,journal bacteriology,intracellular bacteria differentiated bacteroid transcriptome metabolome analysis aeschynomene nodule using bradyrhizobium strain or bcla mutant journal bacteriology,Biology (fond.)
10.23919/TMA.2019.8784472,inferring deployment top domain public cloud using dns data,network traffic measurement analysis conference tma,inferring deployment top domain public cloud using dns data network traffic measurement analysis conference tma,Computer and information sciences
10.1364/OL.44.004071,thulium laser based upconversion pumping,optic letter,thulium laser based upconversion pumping optic letter,"Physical sciences, Astronomy"
10.1109/CBMS.2019.00099,non invasive live cell cycle monitoring using quantitative phase imaging proximal machine learning method,ieee international symposium computer based medical system cbms,non invasive live cell cycle monitoring using quantitative phase imaging proximal machine learning method ieee international symposium computer based medical system cbms,Computer and information sciences
10.5038/1827-806X.48.1.2252,guano related phosphate rich mineral european cave,international journal speleology,guano related phosphate rich mineral european cave international journal speleology,"Earth, Ecology, Energy and applied biology"
10.23919/ECC.2019.8795880,nonlinear control approach trajectory tracking slender body axisymmetric underactuated underwater vehicle,european control conference ecc,nonlinear control approach trajectory tracking slender body axisymmetric underactuated underwater vehicle european control conference ecc,Computer and information sciences
10.1029/2019GL083490,bunce fault strain partitioning northern lesser antilles,geophysical research letter,bunce fault strain partitioning northern lesser antilles geophysical research letter,"Earth, Ecology, Energy and applied biology"
10.1029/2019JE005959,gravitational signature martian volcano,journal geophysical research planet,gravitational signature martian volcano journal geophysical research planet,"Earth, Ecology, Energy and applied biology"
10.1364/OE.27.025603,quantum optical frequency conversion polarisation entangled qubits towards interconnected quantum information device,optic express,quantum optical frequency conversion polarisation entangled qubits towards interconnected quantum information device optic express,"Physical sciences, Astronomy"
10.1103/PhysRevA.100.033608,two photon rabi hubbard jaynes cummings hubbard model photon pair superradiance mott insulator normal phase,physical review,two photon rabi hubbard jaynes cummings hubbard model photon pair superradiance mott insulator normal phase physical review,"Physical sciences, Astronomy"
10.5755/j01.mech.25.4.22713,study analysis magneto mechanical behavior smart composite sandwich beam elastomer,mechanic,study analysis magneto mechanical behavior smart composite sandwich beam elastomer mechanic,"Physical sciences, Astronomy"
10.1109/FormaliSE.2019.00015,towards sampling simulation based analysis featured weighted automaton,ieee acm international conference formal method software engineering formalise,towards sampling simulation based analysis featured weighted automaton ieee acm international conference formal method software engineering formalise,Computer and information sciences
10.1161/CIRCRESAHA.119.314793,characterization kcnk mutated rat novel model pulmonary hypertension,circulation research,characterization kcnk mutated rat novel model pulmonary hypertension circulation research,Medical research
10.1214/19-EJP298,master equation mean field game limit theory central limit theorem,electronic journal probability,master equation mean field game limit theory central limit theorem electronic journal probability,Mathematics
10.1097/RLU.0000000000002707,nivolumab induced pneumonitis patient metastatic melanoma showing complete remission fdg pet,clinical nuclear medicine,nivolumab induced pneumonitis patient metastatic melanoma showing complete remission fdg pet clinical nuclear medicine,Medical research
10.1109/SCC.2019.00022,container wysiwyg,ieee international conference service computing scc,container wysiwyg ieee international conference service computing scc,Computer and information sciences
10.7554/eLife.49158,neuronal torc modulates longevity via ampk cell nonautonomous regulation mitochondrial dynamic elegans,elife,neuronal torc modulates longevity via ampk cell nonautonomous regulation mitochondrial dynamic elegans elife,Biology (fond.)
10.1103/PhysRevLett.123.083401,microscopic macroscopic signature anderson localization light,physical review letter,microscopic macroscopic signature anderson localization light physical review letter,"Physical sciences, Astronomy"
10.1016/B978-0-12-809633-8.90726-X,immune priming trans generational protection parasite,encyclopedia animal behavior,immune priming trans generational protection parasite encyclopedia animal behavior,Biology (fond.)
10.1109/ICSE.2019.00092,multifaceted automated analysis variability intensive embedded system,ieee acm international conference software engineering icse,multifaceted automated analysis variability intensive embedded system ieee acm international conference software engineering icse,Computer and information sciences
10.1103/PhysRevD.100.024017,all sky search short gravitational wave burst second advanced ligo advanced virgo run,physical review,all sky search short gravitational wave burst second advanced ligo advanced virgo run physical review,"Physical sciences, Astronomy"
10.1103/PhysRevA.100.021401,dressed dense atomic gas,physical review,dressed dense atomic gas physical review,"Physical sciences, Astronomy"
10.1109/TIP.2019.2928895,super resolution hyperspectral multispectral image fusion accounting seasonal spectral variability,ieee transaction image processing,super resolution hyperspectral multispectral image fusion accounting seasonal spectral variability ieee transaction image processing,Computer and information sciences
10.1137/18M1222454,convergence problem mean field game two state model without uniqueness,siam journal control optimization,convergence problem mean field game two state model without uniqueness siam journal control optimization,Mathematics
10.1103/PhysRevD.100.024004,all sky search continuous gravitational wave isolated neutron star using advanced ligo data,physical review,all sky search continuous gravitational wave isolated neutron star using advanced ligo data physical review,"Physical sciences, Astronomy"
10.1109/ICTON.2019.8840511,field representation scattering electromagnetic wave several obstacle,international conference transparent optical network icton,field representation scattering electromagnetic wave several obstacle international conference transparent optical network icton,"Physical sciences, Astronomy"
10.1109/ICIOT.2019.00021,advance deployment orchestration approach iot systematic review,ieee international congress internet thing iciot,advance deployment orchestration approach iot systematic review ieee international congress internet thing iciot,Computer and information sciences
10.1109/ICTON.2019.8840012,sio sno photonic glass ceramic,international conference transparent optical network icton,sio sno photonic glass ceramic international conference transparent optical network icton,"Physical sciences, Astronomy"
10.1109/ICTON.2019.8840375,chip based compact squeezing experiment telecom wavelength,international conference transparent optical network icton,chip based compact squeezing experiment telecom wavelength international conference transparent optical network icton,"Physical sciences, Astronomy"
10.1109/HPSR.2018.8850754,efficient make break capacity defragmentation,ieee international conference high performance switching routing hpsr,efficient make break capacity defragmentation ieee international conference high performance switching routing hpsr,Computer and information sciences
10.1109/GROUP4.2019.8853883,ultra low threshold lasing tensile strained gesn microdisk cavity,ieee international conference group photonics gfp,ultra low threshold lasing tensile strained gesn microdisk cavity ieee international conference group photonics gfp,"Physical sciences, Astronomy"
10.1109/ICTON.2019.8839990,complex dynamic long cavity laser,international conference transparent optical network icton,complex dynamic long cavity laser international conference transparent optical network icton,"Physical sciences, Astronomy"
10.5978/islsm.28_19-OR-14,antimicrobial effect candida albicans biofilm application different wavelength dye synthetic killer decapeptide,laser therapy,antimicrobial effect candida albicans biofilm application different wavelength dye synthetic killer decapeptide laser therapy,Medical research
10.5978/islsm.28_19-CR-02,yag laser aesthetic treatment developmental enamel defect frontal teeth case report,laser therapy,yag laser aesthetic treatment developmental enamel defect frontal teeth case report laser therapy,Medical research
10.1109/ICTON.2019.8840499,molecular dynamic simulation rare earth doped nanoparticles silica matrix drawing preform fiber,international conference transparent optical network icton,molecular dynamic simulation rare earth doped nanoparticles silica matrix drawing preform fiber international conference transparent optical network icton,"Physical sciences, Astronomy"
10.1109/IJCNN.2019.8852098,self organizing neuron toward brain inspired unsupervised learning,international joint conference neural network ijcnn,self organizing neuron toward brain inspired unsupervised learning international joint conference neural network ijcnn,Biology (fond.)
